"","island","sitename","depthname","quad","species","colony","depth","allfates","fate_t","year","asize","psize","yearNext","asizeNext","psizeNext","survIPM","fateIPM","fec1","spcover","allcover","twoyear","site","trans","utrans","uquad","uyear","tyear","ucolony","fyear","fyearNext","Pgrowth","Pfuse","Pfiss","Psurv","fate","size","sizeNext","size2","grArea","spcoverD"
"1280","Ma","HonS","03m","Q2","MC","20",3,"S","S",1999,3.694675,12.258938,2000,9.273197,20.817451,1,"growth",0,88.582333,897.988304,0,"Honolua","S","Honolua.S","Honolua.S.Q2","Honolua.S.Q2.1999","Honolua.S.1999","Honolua.S.Q2.MC.20","1999","2000",1,0,0,1,"growth",1.30689259383351,2.22712819606563,1.70796825181687,0.920235602232123,2.59003334889643
"1303","Ma","HonS","03m","Q3","MC","01",3,"S","S",1999,1.199808,5.398566,2000,7.078889,21.125721,1,"growth",0,4.836832,739.033702,0,"Honolua","S","Honolua.S","Honolua.S.Q3","Honolua.S.Q3.1999","Honolua.S.1999","Honolua.S.Q3.MC.01","1999","2000",1,0,0,1,"growth",0.182161543992589,1.9571169744883,0.033182828109764,1.77495543049571,-0.803974589571835
"1304","Ma","HonS","03m","Q3","MC","02",3,"S","S",1999,3.637024,10.947128,2000,3.534444,11.840678,1,"growth",0,4.836832,739.033702,0,"Honolua","S","Honolua.S","Honolua.S.Q3","Honolua.S.Q3.1999","Honolua.S.1999","Honolua.S.Q3.MC.02","1999","2000",1,0,0,1,"growth",1.29116576482828,1.26255600267821,1.6671090322646,-0.0286097621500768,-0.803974589571835
"1343","Ma","HonS","03m","Q4","MC","01",3,"S","S",1999,3.581267,13.810262,2000,2.062348,10.510708,1,"growth",0,3.581267,931.221304,0,"Honolua","S","Honolua.S","Honolua.S.Q4","Honolua.S.Q4.1999","Honolua.S.1999","Honolua.S.Q4.MC.01","1999","2000",1,0,0,1,"growth",1.27571664841554,0.723845139541247,1.62745296704459,-0.551871508874298,-0.85485968222013
"1503","Ma","HonS","03m","Q1","MC","02",3,"RS","S",2002,1.903355,5.907633,2003,2.163091,6.783436,1,"growth",0,1.903355,556.445676,0,"Honolua","S","Honolua.S","Honolua.S.Q1","Honolua.S.Q1.2002","Honolua.S.2002","Honolua.S.Q1.MC.02","2002","2003",1,0,0,1,"growth",0.64361811847267,0.771538217283365,0.4142442824263,0.127920098810694,-0.922861504169361
"1520","Ma","HonS","03m","Q2","MC","08a",3,"IUS","S",2002,2.265361,7.872349,2003,3.186722,9.696519,1,"growth",0,60.957726,769.586033,0,"Honolua","S","Honolua.S","Honolua.S.Q2","Honolua.S.Q2.2002","Honolua.S.2002","Honolua.S.Q2.MC.08a","2002","2003",1,0,0,1,"growth",0.817734128133507,1.15899280226118,0.668689104314266,0.341258674127677,1.47047308195068
"1521","Ma","HonS","03m","Q2","MC","11",3,"SIS","S",2002,26.354375,39.051028,2003,76.896748,77.945237,1,"growth",0,60.957726,769.586033,0,"Honolua","S","Honolua.S","Honolua.S.Q2","Honolua.S.Q2.2002","Honolua.S.2002","Honolua.S.Q2.MC.11","2002","2003",1,0,0,1,"growth",3.27163429536082,4.3424635869308,10.7035909625811,1.07082929156998,1.47047308195068
"1523","Ma","HonS","03m","Q2","MC","16",3,"SSS","S",2002,1.121506,6.022417,2003,1.433584,7.446217,1,"growth",0,60.957726,769.586033,0,"Honolua","S","Honolua.S","Honolua.S.Q2","Honolua.S.Q2.2002","Honolua.S.2002","Honolua.S.Q2.MC.16","2002","2003",1,0,0,1,"growth",0.114672424941523,0.360177602461962,0.0131497650419693,0.245505177520439,1.47047308195068
"1529","Ma","HonS","03m","Q2","MC","24",3,"RS","S",2002,2.706243,8.568739,2003,2.836315,8.982624,1,"growth",0,60.957726,769.586033,0,"Honolua","S","Honolua.S","Honolua.S.Q2","Honolua.S.Q2.2002","Honolua.S.2002","Honolua.S.Q2.MC.24","2002","2003",1,0,0,1,"growth",0.995561326160237,1.04250567443415,0.991142354145929,0.0469443482739129,1.47047308195068
"1553","Ma","HonS","03m","Q3","MC","01",3,"SSS","S",2002,0.521282,2.86924,2003,6.46596,14.196189,1,"growth",0,3.644845,700.611574,0,"Honolua","S","Honolua.S","Honolua.S.Q3","Honolua.S.Q3.2002","Honolua.S.2002","Honolua.S.Q3.MC.01","2002","2003",1,0,0,1,"growth",-0.651464116866179,1.86655149307934,0.424405495564231,2.51801560994552,-0.852283015603592
"1554","Ma","HonS","03m","Q3","MC","02",3,"SSS","S",2002,3.123563,9.9746,2003,2.220351,8.83195,1,"growth",0,3.644845,700.611574,0,"Honolua","S","Honolua.S","Honolua.S.Q3","Honolua.S.Q3.2002","Honolua.S.2002","Honolua.S.Q3.MC.02","2002","2003",1,0,0,1,"growth",1.13897433742953,0.797665291494527,1.29726254132304,-0.341309045935003,-0.852283015603592
"1638","Ma","HonS","03m","Q2","MC","24",3,"RSS","S",2003,2.836315,8.982624,2004,8.702196,16.222817,1,"growth",0,84.353369,959.184587,0,"Honolua","S","Honolua.S","Honolua.S.Q2","Honolua.S.Q2.2003","Honolua.S.2003","Honolua.S.Q2.MC.24","2003","2004",1,0,0,1,"growth",1.04250567443415,2.16357540760264,1.0868180812274,1.12106973316849,2.41864339700521
"1662","Ma","HonS","03m","Q3","MC","01",3,"SSSS","S",2003,6.46596,14.196189,2004,2.884181,12.108676,1,"growth",0,8.686311,801.339439,0,"Honolua","S","Honolua.S","Honolua.S.Q3","Honolua.S.Q3.2003","Honolua.S.2003","Honolua.S.Q3.MC.01","2003","2004",1,0,0,1,"growth",1.86655149307934,1.05924097750885,3.48401447631673,-0.807310515570492,-0.647964271059717
"1663","Ma","HonS","03m","Q3","MC","02",3,"SSSS","S",2003,2.220351,8.83195,2004,3.350377,7.543715,1,"growth",0,8.686311,801.339439,0,"Honolua","S","Honolua.S","Honolua.S.Q3","Honolua.S.Q3.2003","Honolua.S.2003","Honolua.S.Q3.MC.02","2003","2004",1,0,0,1,"growth",0.797665291494527,1.20907287681856,0.636269917255048,0.411407585324033,-0.647964271059717
"1727","Ma","HonS","03m","Q1","MC","02",3,"RSIS","S",2004,4.951981,8.95317,2005,9.078189,14.21132,1,"growth",0,10.75684,579.030251,0,"Honolua","S","Honolua.S","Honolua.S.Q1","Honolua.S.Q1.2004","Honolua.S.2004","Honolua.S.Q1.MC.02","2004","2005",1,0,0,1,"growth",1.59978769854133,2.20587472338133,2.55932068040417,0.606087024839999,-0.564050606696675
"1728","Ma","HonS","03m","Q1","MC","02a",3,"IS","S",2004,0.851776,4.24839,2005,4.838134,9.223896,1,"growth",0,10.75684,579.030251,0,"Honolua","S","Honolua.S","Honolua.S.Q1","Honolua.S.Q1.2004","Honolua.S.2004","Honolua.S.Q1.MC.02a","2004","2005",1,0,0,1,"growth",-0.160431697518046,1.57652910919989,0.0257383295685219,1.73696080671793,-0.564050606696675
"1737","Ma","HonS","03m","Q2","MC","11b",3,"IS","S",2004,4.164135,11.188688,2005,1.650515,5.9126,1,"growth",0,68.299615,1086.776338,0,"Honolua","S","Honolua.S","Honolua.S.Q2","Honolua.S.Q2.2004","Honolua.S.2004","Honolua.S.Q2.MC.11b","2004","2005",1,0,0,1,"growth",1.42650857097646,0.501087360424918,2.0349267030693,-0.925421210551543,1.76802255328709
"1749","Ma","HonS","03m","Q2","MC","24",3,"RSSS","S",2004,8.702196,16.222817,2005,5.799529,13.352889,1,"growth",0,68.299615,1086.776338,0,"Honolua","S","Honolua.S","Honolua.S.Q2","Honolua.S.Q2.2004","Honolua.S.2004","Honolua.S.Q2.MC.24","2004","2005",1,0,0,1,"growth",2.16357540760264,1.75777670735836,4.68105854438293,-0.405798700244276,1.76802255328709
"1765","Ma","HonS","03m","Q3","MC","01",3,"SSSSS","S",2004,2.884181,12.108676,2005,0.530108,3.030344,1,"growth",0,6.234558,891.930547,0,"Honolua","S","Honolua.S","Honolua.S.Q3","Honolua.S.Q3.2004","Honolua.S.2004","Honolua.S.Q3.MC.01","2004","2005",1,0,0,1,"growth",1.05924097750885,-0.634674519610081,1.12199144843391,-1.69391549711893,-0.747328046376595
"1766","Ma","HonS","03m","Q3","MC","02",3,"SSSSS","S",2004,3.350377,7.543715,2005,0.281179,2.124454,1,"growth",0,6.234558,891.930547,0,"Honolua","S","Honolua.S","Honolua.S.Q3","Honolua.S.Q3.2004","Honolua.S.2004","Honolua.S.Q3.MC.02","2004","2005",1,0,0,1,"growth",1.20907287681856,-1.26876380177741,1.46185722145831,-2.47783667859597,-0.747328046376595
"1786","Ma","HonS","03m","Q4","MC","02",3,"RS","S",2004,1.443073,5.223086,2005,4.877878,14.112871,1,"growth",0,1.443073,698.078029,0,"Honolua","S","Honolua.S","Honolua.S.Q4","Honolua.S.Q4.2004","Honolua.S.2004","Honolua.S.Q4.MC.02","2004","2005",1,0,0,1,"growth",0.36677486756274,1.58471028923086,0.134523803475665,1.21793542166812,-0.941515649685
"1813","Ma","Kahe","03m","Q1","MC","01",3,"S","S",2001,11.995308,16.148692,2002,18.610713,21.395819,1,"growth",0,221.927767,1412.473872,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q1","Kahekili.03m.Q1.2001","Kahekili.03m.2001","Kahekili.03m.Q1.MC.01","2001","2002",1,0,0,1,"growth",2.48451557332757,2.92373738265533,6.17281763410722,0.439221809327765,1.47323115401035
"1814","Ma","Kahe","03m","Q1","MC","02",3,"S","S",2001,0.684582,3.916726,2002,6.382767,15.842645,1,"growth",0,221.927767,1412.473872,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q1","Kahekili.03m.Q1.2001","Kahekili.03m.2001","Kahekili.03m.Q1.MC.02","2001","2002",1,0,0,1,"growth",-0.378946845957391,1.85360170239601,0.143600712061055,2.2325485483534,1.47323115401035
"1819","Ma","Kahe","03m","Q1","MC","04",3,"S","S",2001,3.325432,7.645495,2002,12.423038,17.047918,1,"growth",0,221.927767,1412.473872,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q1","Kahekili.03m.Q1.2001","Kahekili.03m.2001","Kahekili.03m.Q1.MC.04","2001","2002",1,0,0,1,"growth",1.20159959048035,2.51955265206933,1.44384157584255,1.31795306158898,1.47323115401035
"1824","Ma","Kahe","03m","Q1","MC","06",3,"S","S",2001,6.180284,13.557133,2002,11.189622,26.077285,1,"growth",0,221.927767,1412.473872,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q1","Kahekili.03m.Q1.2001","Kahekili.03m.2001","Kahekili.03m.Q1.MC.06","2001","2002",1,0,0,1,"growth",1.82136422510627,2.41498674159241,3.31736764049697,0.593622516486142,1.47323115401035
"1825","Ma","Kahe","03m","Q1","MC","07",3,"S","S",2001,16.390749,23.413803,2002,19.381327,25.534276,1,"growth",0,221.927767,1412.473872,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q1","Kahekili.03m.Q1.2001","Kahekili.03m.2001","Kahekili.03m.Q1.MC.07","2001","2002",1,0,0,1,"growth",2.79671709030829,2.96431007677069,7.82162648322249,0.167592986462399,1.47323115401035
"1829","Ma","Kahe","03m","Q1","MC","11",3,"S","S",2001,1.838623,7.496754,2002,5.940558,10.729437,1,"growth",0,221.927767,1412.473872,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q1","Kahekili.03m.Q1.2001","Kahekili.03m.2001","Kahekili.03m.Q1.MC.11","2001","2002",1,0,0,1,"growth",0.609016921887385,1.78180306835646,0.370901611145186,1.17278614646908,1.47323115401035
"1855","Ma","Kahe","03m","Q2","MC","01",3,"S","S",2001,2.908855,9.482728,2002,14.365015,30.794303,1,"growth",0,17.373915,1462.395586,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q2","Kahekili.03m.Q2.2001","Kahekili.03m.2001","Kahekili.03m.Q2.MC.01","2001","2002",1,0,0,1,"growth",1.06775953296308,2.66479573663537,1.14011042023353,1.59703620367229,-0.806379758486338
"1873","Ma","Kahe","03m","Q3","MC","02",3,"S","S",2001,3.398289,8.956506,2002,1.781788,5.556746,1,"growth",0,171.729275,1593.891012,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q3","Kahekili.03m.Q3.2001","Kahekili.03m.2001","Kahekili.03m.Q3.MC.02","2001","2002",1,0,0,1,"growth",1.22327206966262,0.577617354519128,1.49639455641667,-0.645654715143493,0.913803751225104
"1880","Ma","Kahe","03m","Q3","MC","05",3,"S","S",2001,23.626039,28.45597,2002,6.635698,15.358546,1,"growth",0,171.729275,1593.891012,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q3","Kahekili.03m.Q3.2001","Kahekili.03m.2001","Kahekili.03m.Q3.MC.05","2001","2002",1,0,0,1,"growth",3.16234945124874,1.89246386194964,10.0004540518132,-1.26988558929911,0.913803751225104
"1881","Ma","Kahe","03m","Q3","MC","06",3,"S","S",2001,22.16601,30.384283,2002,5.837916,15.164094,1,"growth",0,171.729275,1593.891012,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q3","Kahekili.03m.Q3.2001","Kahekili.03m.2001","Kahekili.03m.Q3.MC.06","2001","2002",1,0,0,1,"growth",3.09856003449475,1.7643738838392,9.60107428736809,-1.33418615065555,0.913803751225104
"2024","Ma","Kahe","07m","Q1","MC","01",7,"S","S",2001,2.842574,7.111945,2002,3.32849,8.545868,1,"growth",0,269.098984,2242.835561,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q1","Kahekili.07m.Q1.2001","Kahekili.07m.2001","Kahekili.07m.Q1.MC.01","2001","2002",1,0,0,1,"growth",1.04470997972497,1.20251874769779,1.09141894173696,0.157808767972817,0.836711002621476
"2025","Ma","Kahe","07m","Q1","MC","02",7,"S","S",2001,11.777047,21.179056,2002,32.795001,28.358934,1,"growth",0,269.098984,2242.835561,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q1","Kahekili.07m.Q1.2001","Kahekili.07m.2001","Kahekili.07m.Q1.MC.02","2001","2002",1,0,0,1,"growth",2.46615246768103,3.49027609523815,6.08190799384924,1.02412362755712,0.836711002621476
"2026","Ma","Kahe","07m","Q1","MC","03",7,"S","S",2001,4.760611,15.351088,2002,13.705228,18.538641,1,"growth",0,269.098984,2242.835561,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q1","Kahekili.07m.Q1.2001","Kahekili.07m.2001","Kahekili.07m.Q1.MC.03","2001","2002",1,0,0,1,"growth",1.56037602135025,2.61777736588051,2.43477332800485,1.05740134453025,0.836711002621476
"2030","Ma","Kahe","07m","Q1","MC","06",7,"S","S",2001,13.067426,22.674739,2002,8.66101,17.295884,1,"growth",0,269.098984,2242.835561,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q1","Kahekili.07m.Q1.2001","Kahekili.07m.2001","Kahekili.07m.Q1.MC.06","2001","2002",1,0,0,1,"growth",2.57012256868475,2.15883134394933,6.60553001806272,-0.411291224735428,0.836711002621476
"2031","Ma","Kahe","07m","Q1","MC","07",7,"S","S",2001,10.533421,14.520562,2002,1.767752,6.602796,1,"growth",0,269.098984,2242.835561,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q1","Kahekili.07m.Q1.2001","Kahekili.07m.2001","Kahekili.07m.Q1.MC.07","2001","2002",1,0,0,1,"growth",2.35455315467493,0.569708682883273,5.54392055818968,-1.78484447179166,0.836711002621476
"2032","Ma","Kahe","07m","Q1","MC","08",7,"S","S",2001,30.079626,34.76611,2002,30.976308,42.607011,1,"growth",0,269.098984,2242.835561,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q1","Kahekili.07m.Q1.2001","Kahekili.07m.2001","Kahekili.07m.Q1.MC.08","2001","2002",1,0,0,1,"growth",3.4038480654937,3.43322265422655,11.5861816529652,0.0293745887328475,0.836711002621476
"2033","Ma","Kahe","07m","Q1","MC","09",7,"S","S",2001,128.529476,70.69373,2002,127.637996,81.317383,1,"growth",0,269.098984,2242.835561,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q1","Kahekili.07m.Q1.2001","Kahekili.07m.2001","Kahekili.07m.Q1.MC.09","2001","2002",1,0,0,1,"growth",4.85615826324452,4.84919810087939,23.582273077678,-0.0069601623651222,0.836711002621476
"2034","Ma","Kahe","07m","Q1","MC","10",7,"S","S",2001,2.813354,7.225234,2002,18.075293,27.160798,1,"growth",0,269.098984,2242.835561,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q1","Kahekili.07m.Q1.2001","Kahekili.07m.2001","Kahekili.07m.Q1.MC.10","2001","2002",1,0,0,1,"growth",1.03437736588434,2.89454597814858,1.06993653505382,1.86016861226424,0.836711002621476
"2080","Ma","Kahe","07m","Q2","MC","04",7,"S","S",2001,1.636946,5.792597,2002,4.761821,10.659441,1,"growth",0,327.961765,1807.199736,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q2","Kahekili.07m.Q2.2001","Kahekili.07m.2001","Kahekili.07m.Q2.MC.04","2001","2002",1,0,0,1,"growth",0.492832310673254,1.56063015810996,0.242883686443538,1.06779784743671,1.23847363992522
"2082","Ma","Kahe","07m","Q2","MC","06",7,"S","S",2001,2.218449,6.155054,2002,1.575323,5.030147,1,"growth",0,327.961765,1807.199736,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q2","Kahekili.07m.Q2.2001","Kahekili.07m.2001","Kahekili.07m.Q2.MC.06","2001","2002",1,0,0,1,"growth",0.79680830306684,0.454460330616777,0.634903471836258,-0.342347972450063,1.23847363992522
"2084","Ma","Kahe","07m","Q2","MC","08",7,"S","S",2001,3.834107,9.797558,2002,2.033578,6.047211,1,"growth",0,327.961765,1807.199736,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q2","Kahekili.07m.Q2.2001","Kahekili.07m.2001","Kahekili.07m.Q2.MC.08","2001","2002",1,0,0,1,"growth",1.34393655242391,0.709796803141191,1.80616545694106,-0.634139749282715,1.23847363992522
"2085","Ma","Kahe","07m","Q2","MC","09",7,"S","S",2001,25.236533,31.669353,2002,26.141839,31.35928,1,"growth",0,327.961765,1807.199736,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q2","Kahekili.07m.Q2.2001","Kahekili.07m.2001","Kahekili.07m.Q2.MC.09","2001","2002",1,0,0,1,"growth",3.22829266690686,3.26353705767253,10.4218735432046,0.0352443907656658,1.23847363992522
"2086","Ma","Kahe","07m","Q2","MC","10",7,"S","S",2001,28.589976,28.033578,2002,32.281788,36.398654,1,"growth",0,327.961765,1807.199736,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q2","Kahekili.07m.Q2.2001","Kahekili.07m.2001","Kahekili.07m.Q2.MC.10","2001","2002",1,0,0,1,"growth",3.35305616687951,3.47450323220233,11.2429856582487,0.121447065322819,1.23847363992522
"2087","Ma","Kahe","07m","Q2","MC","11",7,"S","S",2001,8.028991,13.541994,2002,9.805991,15.867453,1,"growth",0,327.961765,1807.199736,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q2","Kahekili.07m.Q2.2001","Kahekili.07m.2001","Kahekili.07m.Q2.MC.11","2001","2002",1,0,0,1,"growth",2.08305886626531,2.2829935254232,4.33913424032654,0.199934659157881,1.23847363992522
"2088","Ma","Kahe","07m","Q2","MC","12",7,"S","S",2001,18.212566,19.875201,2002,1.701931,5.390923,1,"growth",0,327.961765,1807.199736,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q2","Kahekili.07m.Q2.2001","Kahekili.07m.2001","Kahekili.07m.Q2.MC.12","2001","2002",1,0,0,1,"growth",2.90211179539945,0.531763488788852,8.42225287299663,-2.3703483066106,1.23847363992522
"2092","Ma","Kahe","07m","Q2","MC","16",7,"S","S",2001,6.526496,10.853261,2002,15.471998,19.69229,1,"growth",0,327.961765,1807.199736,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q2","Kahekili.07m.Q2.2001","Kahekili.07m.2001","Kahekili.07m.Q2.MC.16","2001","2002",1,0,0,1,"growth",1.87587019896059,2.73903180944516,3.51888900334846,0.863161610484567,1.23847363992522
"2096","Ma","Kahe","07m","Q2","MC","20",7,"S","S",2001,9.478826,13.912862,2002,6.334903,12.837263,1,"growth",0,327.961765,1807.199736,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q2","Kahekili.07m.Q2.2001","Kahekili.07m.2001","Kahekili.07m.Q2.MC.20","2001","2002",1,0,0,1,"growth",2.24906046893572,1.84607450189581,5.05827299292936,-0.402985967039906,1.23847363992522
"2097","Ma","Kahe","07m","Q2","MC","21",7,"S","S",2001,1.574202,5.686435,2002,2.747291,7.436536,1,"growth",0,327.961765,1807.199736,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q2","Kahekili.07m.Q2.2001","Kahekili.07m.2001","Kahekili.07m.Q2.MC.21","2001","2002",1,0,0,1,"growth",0.453748477212002,1.01061533524846,0.205887680572211,0.556866858036456,1.23847363992522
"2098","Ma","Kahe","07m","Q2","MC","22",7,"S","S",2001,1.96187,5.625929,2002,3.213389,7.639055,1,"growth",0,327.961765,1807.199736,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q2","Kahekili.07m.Q2.2001","Kahekili.07m.2001","Kahekili.07m.Q2.MC.22","2001","2002",1,0,0,1,"growth",0.673898100028482,1.16732614345574,0.454138649221998,0.493428043427262,1.23847363992522
"2129","Ma","Kahe","07m","Q3","MC","01",7,"S","S",2001,1.035276,4.326522,2002,1.421274,5.951858,1,"growth",0,72.327023,1033.910185,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q3","Kahekili.07m.Q3.2001","Kahekili.07m.2001","Kahekili.07m.Q3.MC.01","2001","2002",1,0,0,1,"growth",0.0346680578347633,0.351553652483568,0.00120187423403449,0.316885594648805,-0.506338385391464
"2130","Ma","Kahe","07m","Q3","MC","02",7,"S","S",2001,1.51706,6.174662,2002,0.808197,3.521326,1,"growth",0,72.327023,1033.910185,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q3","Kahekili.07m.Q3.2001","Kahekili.07m.2001","Kahekili.07m.Q3.MC.02","2001","2002",1,0,0,1,"growth",0.416774251331114,-0.21294943829714,0.173700776572611,-0.629723689628254,-0.506338385391464
"2134","Ma","Kahe","07m","Q3","MC","05",7,"S","S",2001,0.487386,2.778651,2002,1.370096,5.303438,1,"growth",0,72.327023,1033.910185,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q3","Kahekili.07m.Q3.2001","Kahekili.07m.2001","Kahekili.07m.Q3.MC.05","2001","2002",1,0,0,1,"growth",-0.718698862044357,0.314880810377737,0.516528054303853,1.03357967242209,-0.506338385391464
"2142","Ma","Kahe","07m","Q3","MC","13",7,"S","S",2001,4.684512,10.563083,2002,9.08848,16.620476,1,"growth",0,72.327023,1033.910185,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q3","Kahekili.07m.Q3.2001","Kahekili.07m.2001","Kahekili.07m.Q3.MC.13","2001","2002",1,0,0,1,"growth",1.54426174804527,2.20700767748544,2.38474434647585,0.662745929440167,-0.506338385391464
"2299","Ma","Kahe","07m","Q4","MC","01",7,"S","S",2001,3.500766,11.576268,2002,3.162662,8.568178,1,"growth",0,4.885866,565.614504,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q4","Kahekili.07m.Q4.2001","Kahekili.07m.2001","Kahekili.07m.Q4.MC.01","2001","2002",1,0,0,1,"growth",1.25298180169249,1.15141407803811,1.56996339537257,-0.101567723654384,-0.966651959416041
"2300","Ma","Kahe","07m","Q4","MC","02",7,"S","S",2001,1.3851,6.113698,2002,3.191925,7.062047,1,"growth",0,4.885866,565.614504,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q4","Kahekili.07m.Q4.2001","Kahekili.07m.2001","Kahekili.07m.Q4.MC.02","2001","2002",1,0,0,1,"growth",0.325772339198916,1.16062418307092,0.106127616987133,0.834851843872004,-0.966651959416041
"2319","Ma","Kahe","07m","Q5","MC","01",7,"S","S",2001,3.166102,10.248054,2002,5.486407,11.842114,1,"growth",0,23.545278,576.521503,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q5","Kahekili.07m.Q5.2001","Kahekili.07m.2001","Kahekili.07m.Q5.MC.01","2001","2002",1,0,0,1,"growth",1.15250117824876,1.70227357860789,1.32825896586478,0.549772400359125,-0.839293814790541
"2321","Ma","Kahe","07m","Q5","MC","03",7,"S","S",2001,2.108031,7.252603,2002,1.787297,6.958991,1,"growth",0,23.545278,576.521503,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q5","Kahekili.07m.Q5.2001","Kahekili.07m.2001","Kahekili.07m.Q5.MC.03","2001","2002",1,0,0,1,"growth",0.745754336453338,0.580704422703303,0.556149530338959,-0.165049913750035,-0.839293814790541
"2323","Ma","Kahe","07m","Q5","MC","05",7,"S","S",2001,7.582653,11.209212,2002,4.515625,10.384297,1,"growth",0,23.545278,576.521503,0,"Kahekili","07m","Kahekili.07m","Kahekili.07m.Q5","Kahekili.07m.Q5.2001","Kahekili.07m.2001","Kahekili.07m.Q5.MC.05","2001","2002",1,0,0,1,"growth",2.02586313841857,1.50754360475276,4.10412145560313,-0.518319533665808,-0.839293814790541
"2352","Ma","Kahe","03m","Q1","MC","01",3,"SS","S",2002,18.610713,21.395819,2003,14.967895,21.964184,1,"growth",0,292.666497,1450.169182,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q1","Kahekili.03m.Q1.2002","Kahekili.03m.2002","Kahekili.03m.Q1.MC.01","2002","2003",1,0,0,1,"growth",2.92373738265533,2.70590757398192,8.54824028273626,-0.21782980867341,2.2615652736932
"2353","Ma","Kahe","03m","Q1","MC","02",3,"SS","S",2002,6.382767,15.842645,2003,4.83232,9.256717,1,"growth",0,292.666497,1450.169182,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q1","Kahekili.03m.Q1.2002","Kahekili.03m.2002","Kahekili.03m.Q1.MC.02","2002","2003",1,0,0,1,"growth",1.85360170239601,1.57532668360529,3.43583927112537,-0.278275018790719,2.2615652736932
"2354","Ma","Kahe","03m","Q1","MC","03",3,"IS","S",2002,28.316551,32.448659,2003,41.353185,32.575658,1,"growth",0,292.666497,1450.169182,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q1","Kahekili.03m.Q1.2002","Kahekili.03m.2002","Kahekili.03m.Q1.MC.03","2002","2003",1,0,0,1,"growth",3.34344647468575,3.72214944389638,11.1786343290886,0.378702969210634,2.2615652736932
"2355","Ma","Kahe","03m","Q1","MC","03a",3,"IS","S",2002,15.474064,25.890484,2003,1.844741,6.099702,1,"growth",0,292.666497,1450.169182,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q1","Kahekili.03m.Q1.2002","Kahekili.03m.2002","Kahekili.03m.Q1.MC.03a","2002","2003",1,0,0,1,"growth",2.73916533208872,0.612338888234586,7.50302671651673,-2.12682644385414,2.2615652736932
"2358","Ma","Kahe","03m","Q1","MC","04",3,"SS","S",2002,12.423038,17.047918,2003,12.709213,25.10027,1,"growth",0,292.666497,1450.169182,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q1","Kahekili.03m.Q1.2002","Kahekili.03m.2002","Kahekili.03m.Q1.MC.04","2002","2003",1,0,0,1,"growth",2.51955265206933,2.54232716353603,6.3481455665496,0.022774511466695,2.2615652736932
"2359","Ma","Kahe","03m","Q1","MC","05",3,"IS","S",2002,84.038138,79.165483,2003,15.534815,20.003437,1,"growth",0,292.666497,1450.169182,0,"Kahekili","03m","Kahekili.03m","Kahekili.03m.Q1","Kahekili.03m.Q1.2002","Kahekili.03m.2002","Kahekili.03m.Q1.MC.05","2002","2003",1,0,0,1,"growth",4.43127071961521,2.7430836341806,19.6361601905191,-1.68818708543461,2.2615652736932
